x,y,channel
487.0114935,282,right
487.2696969,283,right
487.5157129,284,right
487.7496439,285,right
487.9715863,286,right
488.1816307,287,right
488.379862,288,right
488.5663593,289,right
488.7411967,290,right
488.9044431,291,right
489.0561621,292,right
489.1964125,293,right
489.3252484,294,right
489.4427191,295,right
489.5488693,296,right
489.6437393,297,right
489.7273648,298,right
489.7997773,299,right
489.8610038,300,right
489.9110672,301,right
489.9499861,302,right
489.977775,303,right
489.9944443,304,right
490,305,right
489.9944443,306,right
489.977775,307,right
489.9499861,308,right
489.9110672,309,right
489.8610038,310,right
489.7997773,311,right
489.7273648,312,right
489.6437393,313,right
489.5488693,314,right
489.4427191,315,right
489.3252484,316,right
489.1964125,317,right
489.0561621,318,right
488.9044431,319,right
488.7411967,320,right
488.5663593,321,right
488.379862,322,right
488.1816307,323,right
487.9715863,324,right
487.7496439,325,right
487.5157129,326,right
487.2696969,327,right
487.0114935,328,right
486.7409938,329,right
486.4580823,330,right
486.1626369,331,right
485.8545281,332,right
485.5336191,333,right
485.1997653,334,right
484.8528137,335,right
484.4926032,336,right
484.1189634,337,right
483.7317144,338,right
483.3306666,339,right
482.9156198,340,right
482.4863625,341,right
482.0426718,342,right
481.5843122,343,right
481.111035,344,right
480.6225775,345,right
480.118662,346,right
479.598995,347,right
479.0632658,348,right
478.5111457,349,right
477.9422863,350,right
477.3563184,351,right
476.7528501,352,right
476.1314652,353,right
475.4917214,354,right
474.8331477,355,right
474.1552426,356,right
473.4574707,357,right
472.7392604,358,right
472,359,right
471.2390342,360,right
470.4556598,361,right
469.6491206,362,right
468.8186021,363,right
467.9632254,364,right
467.0820393,365,right
466.174013,366,right
465.2380257,367,right
464.2728559,368,right
463.2771681,369,right
462.249498,370,right
461.1882342,371,right
460.0915968,372,right
458.9576119,373,right
457.7840809,374,right
456.5685425,375,right
455.3082272,376,right
454,377,right
452.6402888,378,right
451.2249939,379,right
449.7493719,380,right
448.2078832,381,right
446.593991,382,right
444.8998886,383,right
443.1161223,384,right
441.2310563,385,right
439.2300905,386,right
437.094474,387,right
434.7994253,388,right
432.3109888,389,right
429.5803989,390,right
426.5329983,391,right
423.0434372,392,right
418.8679623,393,right
413.3790882,394,right
400,395,right
399,395,right
398,395,right
397,395,right
396,395,right
395,395,right
394,395,right
393,395,right
392,395,right
391,395,right
390,395,right
389,395,right
388,395,right
387,395,right
386,395,right
385,395,right
384,395,right
383,395,right
382,395,right
381,395,right
380,395,right
379,395,right
378,395,right
377,395,right
376,395,right
375,395,right
374,395,right
373,395,right
372,395,right
371,395,right
370,395,right
369,395,right
368,395,right
367,395,right
366,395,right
365,395,right
364,395,right
363,395,right
362,395,right
361,395,right
360,395,right
359,395,right
358,395,right
357,395,right
356,395,right
355,395,right
354,395,right
353,395,right
352,395,right
351,395,right
350,395,right
349,395,right
348,395,right
347,395,right
346,395,right
345,395,right
344,395,right
343,395,right
342,395,right
341,395,right
340,395,right
339,395,right
338,395,right
337,395,right
336,395,right
335,395,right
334,395,right
333,395,right
332,395,right
331,395,right
330,395,right
329,215,left
328,215,left
327,215,left
326,215,left
325,215,left
324,215,left
323,215,left
322,215,left
321,215,left
320,215,left
319,215,left
318,215,left
317,215,left
316,215,left
315,215,left
314,215,left
313,215,left
312,215,left
311,215,left
310,215,left
309,215,left
308,215,left
307,215,left
306,215,left
305,215,left
304,215,left
303,215,left
302,215,left
301,215,left
300,215,left
299,215,left
298,215,left
297,215,left
296,215,left
295,215,left
294,215,left
293,215,left
292,215,left
291,215,left
290,215,left
289,215,left
288,215,left
287,215,left
286,215,left
285,215,left
284,215,left
283,215,left
282,215,left
281,215,left
280,215,left
279,215,left
278,215,left
277,215,left
276,215,left
275,215,left
274,215,left
273,215,left
272,215,left
271,215,left
270,215,left
269,215,left
268,215,left
267,215,left
266,215,left
265,215,left
264,215,left
263,215,left
262,215,left
261,215,left
260,215,left
259,215,left
258,215,left
